date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,1825.0,1825.0,1825.0,1825.0,3022587707000,103159990,7947,1738.0,1825.0
2020-07-05,1916.0,1916.0,1916.0,1916.0,796315464440,25888019,2451,1825.0,1916.0
2020-07-06,2011.0,2011.0,2011.0,1950.0,51266219490,1587681,345,1916.0,2011.0
2020-07-08,2048.0,2048.0,1853.0,2045.0,16079846320480,489587319,70833,1950.0,2048.0
2020-07-11,2055.0,2147.0,2049.0,2097.0,7860022545780,233398577,41714,2045.0,2147.0
2020-07-12,2202.0,2202.0,2202.0,2202.0,8199654586240,231890684,13189,2097.0,2202.0
2020-07-13,2312.0,2312.0,2312.0,2312.0,4501667531520,121273371,8193,2202.0,2312.0
2020-07-14,2427.0,2427.0,2427.0,2427.0,4041289113930,103702569,8631,2312.0,2427.0
2020-07-15,2426.0,2548.0,2306.0,2343.0,14854589352630,394846259,105507,2427.0,2335.0
2020-07-20,2776.0,2914.0,2713.0,2785.0,13940911076650,315065111,88002,2343.0,2769.0
2020-07-21,2646.0,2924.0,2646.0,2657.0,6995793320290,165726875,74092,2785.0,2646.0
2020-07-22,2790.0,2790.0,2764.0,2790.0,12648798277460,285416035,67433,2657.0,2790.0
2020-07-25,2929.0,2929.0,2929.0,2929.0,16817133772890,361425613,94946,2790.0,2929.0
2020-07-26,3075.0,3075.0,2783.0,3038.0,10080621878990,208817618,119889,2929.0,3020.0
2020-07-27,3021.0,3190.0,2887.0,3089.0,5074544131350,103405243,63507,3038.0,3144.0
2020-07-28,3160.0,3243.0,2934.0,3135.0,17129601919260,343924901,155739,3089.0,2934.0
2020-07-29,2978.0,2978.0,2978.0,2978.0,1654649039680,34967224,29769,3135.0,2978.0
2020-08-01,2927.0,3127.0,2830.0,3074.0,16360403877390,334970708,111323,2978.0,3052.0
2020-08-02,3116.0,3228.0,2921.0,3190.0,17873740095170,352676349,158802,3074.0,3104.0
2020-08-03,3191.0,3349.0,3031.0,3105.0,4465595709870,90521621,58647,3190.0,3031.0
2020-08-04,2951.0,3260.0,2950.0,2970.0,7604368495820,161189764,64349,3105.0,2950.0
2020-08-05,2914.0,3118.0,2822.0,3022.0,13133700508540,273564993,108547,2970.0,3118.0
2020-08-09,3173.0,3173.0,3146.0,3173.0,10706346117620,212396096,73361,3022.0,3173.0
2020-08-10,3301.0,3332.0,3014.0,3163.0,12049244640820,239788777,115827,3173.0,3014.0
2020-08-11,3005.0,3005.0,3005.0,3005.0,597555421540,12516871,9950,3163.0,3005.0
2020-08-12,3065.0,3155.0,2855.0,2928.0,5512704686410,118496045,48623,3005.0,2855.0
2020-08-15,2782.0,2782.0,2782.0,2782.0,743477194200,16820751,13396,2928.0,2782.0
2020-08-16,2643.0,2643.0,2643.0,2643.0,442962461630,10549237,8643,2782.0,2643.0
2020-08-18,2511.0,2537.0,2511.0,2511.0,6171956259550,154674306,26992,2643.0,2511.0
