date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-06,2829.0,2829.0,2829.0,2829.0,776996297220,29735794,1551,2694.0,2829.0
2020-07-08,2923.0,2923.0,2813.0,2863.0,891290335400,33692938,7260,2829.0,2815.0
2020-07-11,2729.0,3006.0,2729.0,2938.0,3776497896550,139161805,21467,2863.0,3006.0
2020-07-12,3084.0,3084.0,3081.0,3084.0,5060534904190,177625051,16832,2938.0,3084.0
2020-07-13,3084.0,3238.0,3078.0,3203.0,3797126127840,128322419,12513,3084.0,3238.0
2020-07-14,3362.0,3362.0,3362.0,3362.0,4688526971580,150950643,4985,3203.0,3362.0
2020-07-15,3483.0,3530.0,3272.0,3500.0,13061766795410,404045757,78343,3362.0,3322.0
2020-07-18,3325.0,3325.0,3325.0,3325.0,424567695360,13820563,8609,3500.0,3325.0
2020-07-19,3280.0,3491.0,3160.0,3448.0,4469539390870,140344545,20321,3325.0,3491.0
2020-07-20,3567.0,3620.0,3540.0,3609.0,4977467891740,149290436,33854,3448.0,3605.0
2020-07-21,3486.0,3723.0,3429.0,3556.0,4456854725570,135664220,53483,3609.0,3429.0
2020-07-22,3477.0,3548.0,3378.0,3412.0,1226216918280,38908602,15031,3556.0,3378.0
2020-07-25,3540.0,3582.0,3253.0,3436.0,3698549931670,116537527,43583,3412.0,3292.0
2020-07-26,3312.0,3334.0,3265.0,3277.0,1155804050450,38179145,15611,3436.0,3265.0
2020-07-27,3113.0,3190.0,3113.0,3115.0,3755598228390,130508213,27123,3277.0,3113.0
2020-07-28,3139.0,3226.0,2961.0,3046.0,3233926136890,114925319,33039,3115.0,2961.0
2020-07-29,2977.0,3046.0,2895.0,2924.0,2356913218790,87253336,27331,3046.0,2944.0
2020-08-01,2924.0,3070.0,2923.0,3046.0,2714574471600,96469677,26938,2924.0,3070.0
2020-08-02,3198.0,3198.0,2895.0,3190.0,2462629044840,83576953,23137,3046.0,3183.0
2020-08-03,3289.0,3289.0,3063.0,3186.0,1470659544460,49979720,20939,3190.0,3172.0
2020-08-04,3248.0,3345.0,3227.0,3317.0,1629797570730,53190336,18720,3186.0,3345.0
2020-08-05,3482.0,3482.0,3464.0,3482.0,1402532499550,43600304,10101,3317.0,3482.0
2020-08-09,3656.0,3656.0,3656.0,3656.0,1785869885250,52883325,9355,3482.0,3656.0
2020-08-10,3837.0,3837.0,3474.0,3708.0,6648479649460,194136909,53914,3656.0,3525.0
2020-08-11,3522.0,3561.0,3522.0,3525.0,1214281609070,37296160,9083,3708.0,3522.0
2020-08-12,3530.0,3679.0,3349.0,3443.0,2517550718870,79140568,12322,3525.0,3349.0
2020-08-15,3271.0,3271.0,3271.0,3271.0,1069901687640,35403762,4989,3443.0,3271.0
2020-08-16,3108.0,3246.0,3108.0,3111.0,3883424935790,135141268,16534,3271.0,3128.0
2020-08-17,3074.0,3215.0,3053.0,3130.0,1381799524170,47791791,19118,3111.0,3109.0
2020-08-18,3285.0,3285.0,3168.0,3272.0,1644630750620,54402543,15448,3130.0,3285.0
2020-08-19,3150.0,3231.0,3109.0,3112.0,1079137675210,37538676,7809,3272.0,3109.0
2020-08-22,3140.0,3246.0,2957.0,2995.0,1521234453620,54972413,13271,3112.0,2957.0
2020-08-23,2923.0,2944.0,2846.0,2849.0,1170227049480,44468475,6367,2995.0,2846.0
2020-08-24,2760.0,2936.0,2707.0,2719.0,3016065123190,120080601,14335,2849.0,2707.0
2020-08-25,2836.0,2855.0,2815.0,2849.0,304995687860,11589630,2777,2719.0,2855.0
2020-08-26,2991.0,2991.0,2991.0,2991.0,216683522640,7842328,890,2849.0,2991.0
2020-08-31,3140.0,3140.0,3015.0,3130.0,3157814512110,109243967,20501,2991.0,3140.0
2020-09-01,2993.0,3127.0,2974.0,2986.0,1116785002500,40491476,10937,3130.0,2975.0
2020-09-02,2855.0,2911.0,2837.0,2838.0,1337634015230,51013693,8598,2986.0,2843.0
2020-09-05,2976.0,2980.0,2847.0,2941.0,802414428720,29536340,10772,2838.0,2980.0
2020-09-06,3087.0,3087.0,2942.0,3039.0,987409729400,35182469,12176,2941.0,2951.0
2020-09-07,3039.0,3041.0,2887.0,2943.0,1076335937850,39586494,6382,3039.0,2887.0
2020-09-08,2798.0,2809.0,2797.0,2797.0,577523463740,22346932,2829,2943.0,2797.0
2020-09-09,2658.0,2914.0,2658.0,2782.0,1041612003830,40533248,14979,2797.0,2911.0
2020-09-12,2921.0,2921.0,2815.0,2920.0,842411564690,31230452,7165,2782.0,2921.0
2020-09-13,2954.0,3065.0,2815.0,2957.0,870901585120,31878240,13031,2920.0,3008.0
2020-09-14,2988.0,3105.0,2979.0,3095.0,1086842529160,38020502,7022,2957.0,3105.0
2020-09-15,3249.0,3249.0,3249.0,3249.0,757850482650,25253265,4538,3095.0,3249.0
2020-09-16,3411.0,3411.0,3302.0,3410.0,2460663310400,78114232,15612,3249.0,3411.0
2020-09-19,3410.0,3580.0,3259.0,3528.0,2093635153170,64250353,23217,3410.0,3580.0
2020-09-20,3626.0,3681.0,3353.0,3408.0,1271843895110,40401377,18041,3528.0,3353.0
2020-09-21,3238.0,3302.0,3238.0,3243.0,570970764230,19058589,5074,3408.0,3291.0
2020-09-22,3394.0,3404.0,3113.0,3316.0,1546517065510,50483130,17409,3243.0,3404.0
2020-09-23,3399.0,3481.0,3359.0,3467.0,1435819852150,44833525,15133,3316.0,3481.0
2020-09-26,3640.0,3640.0,3561.0,3634.0,2802116281090,83472317,23212,3467.0,3640.0
2020-09-27,3634.0,3634.0,3453.0,3485.0,608590720410,18904286,5942,3634.0,3453.0
2020-09-28,3311.0,3311.0,3311.0,3311.0,444358966380,14526282,1567,3485.0,3311.0
2020-09-29,3147.0,3432.0,3147.0,3240.0,1372448944810,45854091,15390,3311.0,3334.0
2020-09-30,3248.0,3345.0,3095.0,3243.0,866223492200,28911764,11248,3240.0,3307.0
2020-10-03,3306.0,3404.0,3130.0,3341.0,1480247413820,47973670,18182,3243.0,3334.0
2020-10-04,3302.0,3302.0,3174.0,3189.0,1641903722640,55732568,14525,3341.0,3174.0
2020-10-05,3045.0,3189.0,3030.0,3042.0,1001344833510,35639411,11181,3189.0,3040.0
2020-10-06,3085.0,3193.0,3041.0,3148.0,1207206788310,41513050,12035,3042.0,3192.0
2020-10-07,3248.0,3285.0,3148.0,3213.0,861210073390,29011788,10436,3148.0,3229.0
2020-10-10,3214.0,3303.0,3150.0,3232.0,1045118716070,34999569,12302,3213.0,3245.0
2020-10-11,3265.0,3394.0,3258.0,3353.0,1279259296080,41311114,15418,3232.0,3302.0
2020-10-12,3302.0,3427.0,3248.0,3330.0,938323346360,30502187,12414,3353.0,3354.0
2020-10-13,3356.0,3399.0,3216.0,3315.0,387370359160,12650472,5909,3330.0,3335.0
2020-10-14,3334.0,3340.0,3149.0,3289.0,745950236400,24552686,7865,3315.0,3270.0
2020-10-18,3295.0,3356.0,3126.0,3260.0,1718792314770,57070701,13170,3289.0,3227.0
2020-10-19,3354.0,3354.0,3098.0,3144.0,1531868518210,52748631,10189,3260.0,3150.0
2020-10-31,2957.0,3067.0,2957.0,2986.0,688426624290,50494078,4195,3144.0,3023.0
2020-11-01,2903.0,2914.0,2837.0,2852.0,379033178450,29104156,3911,2986.0,2837.0
2020-11-02,2710.0,2780.0,2710.0,2710.0,479802913190,38778838,5284,2852.0,2710.0
2020-11-04,2738.0,2843.0,2576.0,2815.0,705749203440,54936189,7751,2710.0,2843.0
2020-11-14,2743.0,2870.0,2743.0,2787.0,1414836677610,111254273,10061,2815.0,2828.0
2020-11-15,2879.0,2879.0,2648.0,2714.0,1266432437230,102216974,19163,2787.0,2648.0
2020-11-16,2618.0,2778.0,2589.0,2695.0,797066444260,64814584,12569,2714.0,2666.0
2020-11-17,2629.0,2804.0,2629.0,2738.0,891473071010,71345830,14605,2695.0,2773.0
2020-11-18,2826.0,2874.0,2743.0,2848.0,1089444462940,83804070,14413,2738.0,2874.0
2020-11-21,2968.0,2968.0,2714.0,2841.0,860066900110,66332307,16243,2848.0,2758.0
2020-11-22,2708.0,2841.0,2701.0,2747.0,611648632750,48767657,9665,2841.0,2708.0
2020-11-23,2695.0,2839.0,2692.0,2754.0,570698626590,45411408,8092,2747.0,2727.0
2020-11-24,2765.0,2765.0,2618.0,2631.0,704557881900,58685963,10200,2754.0,2618.0
2020-11-25,2541.0,2695.0,2500.0,2620.0,549536125180,45933828,11010,2631.0,2688.0
2020-11-28,2705.0,2749.0,2638.0,2743.0,985947798770,78747125,6800,2620.0,2749.0
2020-11-29,2876.0,2879.0,2843.0,2879.0,1765191672260,134388103,13340,2743.0,2879.0
2020-11-30,3021.0,3021.0,2957.0,3014.0,1508204906840,109595161,16448,2879.0,3021.0
2020-12-01,3021.0,3111.0,2865.0,3045.0,1205643851070,86766313,17269,3014.0,3045.0
2020-12-02,3043.0,3100.0,2968.0,3049.0,882634032250,63409095,16567,3045.0,3060.0
2020-12-05,3080.0,3172.0,3038.0,3128.0,519999827830,36419217,9118,3049.0,3161.0
2020-12-06,3196.0,3240.0,3126.0,3181.0,616977883430,42487287,11738,3128.0,3157.0
2020-12-07,3198.0,3264.0,3058.0,3187.0,933637960400,64168362,12910,3181.0,3104.0
2020-12-08,3155.0,3168.0,3030.0,3073.0,549526316750,39177760,10822,3187.0,3032.0
2020-12-09,3073.0,3133.0,2946.0,3023.0,570359507950,41325781,11009,3073.0,3017.0
2020-12-13,3045.0,3089.0,2935.0,3049.0,648427203900,46584789,9509,3023.0,3056.0
