date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,2365.0,2366.0,2142.0,2271.0,8849889239090,287163288,143709,2254.0,2228.0
2020-07-05,2228.0,2384.0,2157.0,2346.0,5083735571080,159684640,49421,2271.0,2384.0
2020-07-06,2463.0,2463.0,2463.0,2463.0,187849087110,5619177,812,2346.0,2463.0
2020-07-08,2463.0,2586.0,2340.0,2386.0,5663866289040,174866820,77035,2463.0,2340.0
2020-07-11,2268.0,2505.0,2268.0,2374.0,8498239705690,263795886,98409,2386.0,2505.0
2020-07-12,2492.0,2492.0,2483.0,2492.0,8795521816520,260056047,81953,2374.0,2492.0
2020-07-13,2542.0,2616.0,2367.0,2586.0,9554205181700,272207842,97430,2492.0,2616.0
2020-07-14,2715.0,2715.0,2689.0,2714.0,16107747245570,437248012,137116,2586.0,2715.0
2020-07-15,2778.0,2850.0,2579.0,2745.0,15136195468310,406220350,250607,2714.0,2585.0
2020-07-18,2608.0,2608.0,2608.0,2608.0,1868343111600,52778054,43532,2745.0,2608.0
2020-07-19,2478.0,2738.0,2478.0,2650.0,13293601574850,369600575,123516,2608.0,2738.0
2020-07-25,2813.0,2954.0,2685.0,2775.0,7817995312280,209008640,97321,2650.0,2689.0
2020-07-26,2689.0,2914.0,2637.0,2663.0,2853481603780,79486809,55681,2775.0,2637.0
2020-07-27,2531.0,2589.0,2531.0,2535.0,7686185612680,224970853,74814,2663.0,2531.0
2020-07-28,2535.0,2661.0,2409.0,2479.0,4913940778700,147101144,65257,2535.0,2409.0
2020-07-29,2355.0,2471.0,2355.0,2361.0,3047560619970,95776170,41178,2479.0,2355.0
2020-08-01,2397.0,2479.0,2243.0,2463.0,4425643197030,133317219,59742,2361.0,2468.0
2020-08-02,2581.0,2586.0,2340.0,2474.0,4681014873950,140405045,83623,2463.0,2383.0
2020-08-03,2384.0,2597.0,2350.0,2362.0,2546122147480,79972296,58802,2474.0,2350.0
2020-08-04,2248.0,2350.0,2244.0,2254.0,5299766506500,174474789,71820,2362.0,2244.0
2020-08-05,2254.0,2366.0,2142.0,2333.0,6562382205980,208677555,94132,2254.0,2366.0
2020-08-09,2448.0,2450.0,2217.0,2448.0,4472234167590,135517523,54086,2333.0,2450.0
2020-08-10,2571.0,2571.0,2326.0,2453.0,10587750486040,320260866,140913,2448.0,2341.0
2020-08-11,2330.0,2446.0,2330.0,2339.0,1737426586810,55109736,25033,2453.0,2330.0
2020-08-12,2426.0,2456.0,2223.0,2290.0,4271841467400,138369165,52851,2339.0,2223.0
2020-08-15,2176.0,2255.0,2176.0,2178.0,1708591446210,58190628,22322,2290.0,2176.0
2020-08-16,2074.0,2150.0,2070.0,2073.0,6255742240980,223871806,58421,2178.0,2070.0
2020-08-17,2173.0,2177.0,2078.0,2172.0,2609447485310,89139332,24138,2073.0,2177.0
2020-08-18,2225.0,2225.0,2063.0,2092.0,4112268802270,145822919,57169,2172.0,2107.0
2020-08-19,1988.0,2024.0,1988.0,1991.0,3663625342430,136573387,34940,2092.0,2005.0
2020-08-22,2090.0,2090.0,1990.0,2075.0,7655588046070,273713822,72353,1991.0,2090.0
2020-08-23,2129.0,2171.0,1972.0,2008.0,6828173103080,252296660,62001,2075.0,2019.0
2020-08-24,2108.0,2108.0,1947.0,2058.0,7958826399360,286958570,86625,2008.0,2108.0
2020-08-25,2160.0,2160.0,2160.0,2160.0,636698200320,21864636,3176,2058.0,2160.0
2020-08-26,2268.0,2268.0,2268.0,2268.0,510045073290,16684497,2378,2160.0,2268.0
2020-08-31,2381.0,2381.0,2336.0,2381.0,18242819749930,568572911,86470,2268.0,2381.0
2020-09-01,2448.0,2499.0,2337.0,2459.0,12741433825500,384394339,111181,2381.0,2466.0
2020-09-02,2442.0,2472.0,2337.0,2370.0,9469619495380,296440827,79276,2459.0,2370.0
2020-09-05,2488.0,2488.0,2445.0,2486.0,10458826757970,312090924,64652,2370.0,2488.0
2020-09-06,2610.0,2610.0,2488.0,2588.0,12198183080770,349731612,94052,2486.0,2551.0
2020-09-07,2492.0,2544.0,2459.0,2475.0,2111636213930,63300531,19153,2588.0,2459.0
2020-09-08,2352.0,2352.0,2352.0,2352.0,228025993300,7193249,3378,2475.0,2352.0
2020-09-09,2235.0,2468.0,2235.0,2325.0,11285341631750,360085244,103499,2352.0,2432.0
2020-09-12,2441.0,2441.0,2405.0,2440.0,5851708516820,177893211,36623,2325.0,2441.0
2020-09-13,2448.0,2522.0,2318.0,2404.0,10352604817800,319488050,97978,2440.0,2456.0
2020-09-14,2451.0,2524.0,2404.0,2504.0,5832939658250,172852089,49270,2404.0,2524.0
2020-09-15,2626.0,2629.0,2554.0,2626.0,4229415365190,119523124,34893,2504.0,2629.0
2020-09-16,2756.0,2756.0,2648.0,2744.0,11010515305520,297700691,118845,2626.0,2755.0
2020-09-19,2738.0,2866.0,2619.0,2754.0,9881348478240,266234377,123678,2744.0,2704.0
2020-09-20,2670.0,2743.0,2617.0,2638.0,2295052236900,64536658,30610,2754.0,2617.0
2020-09-21,2507.0,2507.0,2507.0,2507.0,2258894647990,66850981,12402,2638.0,2507.0
2020-09-22,2499.0,2606.0,2382.0,2430.0,8239905612850,251548476,77136,2507.0,2481.0
2020-09-23,2515.0,2551.0,2374.0,2476.0,4672165187970,139974701,58926,2430.0,2467.0
2020-09-26,2485.0,2537.0,2353.0,2387.0,6052279378960,188074523,66412,2476.0,2422.0
2020-09-27,2370.0,2370.0,2269.0,2280.0,1585249502240,51584410,13835,2387.0,2269.0
2020-09-28,2166.0,2166.0,2166.0,2166.0,862265634000,29529645,4129,2280.0,2166.0
2020-09-29,2058.0,2225.0,2058.0,2091.0,6011502389290,213239039,61074,2166.0,2121.0
2020-09-30,2166.0,2187.0,2003.0,2131.0,3129160522980,108934857,37619,2091.0,2177.0
2020-10-03,2183.0,2238.0,2131.0,2228.0,2955482157110,98419438,30245,2131.0,2238.0
2020-10-04,2259.0,2267.0,2117.0,2175.0,4694465675800,160096131,54038,2228.0,2118.0
2020-10-05,2070.0,2189.0,2067.0,2093.0,2833295852040,100435022,40192,2175.0,2077.0
2020-10-06,2079.0,2152.0,2040.0,2097.0,2927253060540,103548106,44385,2093.0,2134.0
2020-10-07,2144.0,2191.0,2079.0,2126.0,2345841349650,81883422,41359,2097.0,2116.0
2020-10-10,2122.0,2126.0,2030.0,2074.0,3206365532120,114716353,50565,2126.0,2062.0
2020-10-11,2085.0,2177.0,2085.0,2166.0,5821840048750,199402046,52175,2074.0,2133.0
2020-10-12,2114.0,2186.0,2058.0,2100.0,2907613735430,102716489,45192,2166.0,2107.0
2020-10-13,2104.0,2150.0,2044.0,2095.0,2529641760510,89581422,32898,2100.0,2108.0
2020-10-14,2107.0,2107.0,2002.0,2038.0,2557915146290,93116117,32883,2095.0,2022.0
2020-10-18,1988.0,1988.0,1936.0,1940.0,1349472106460,51608495,17083,2038.0,1936.0
2020-10-19,1844.0,1844.0,1844.0,1844.0,1403208677500,56467150,9080,1940.0,1844.0
2020-10-20,1752.0,1752.0,1752.0,1752.0,503029088040,21305764,4386,1844.0,1752.0
2020-10-21,1752.0,1839.0,1681.0,1780.0,3561797608680,148496612,45582,1752.0,1761.0
2020-10-24,1726.0,1761.0,1692.0,1699.0,689808784080,30119164,9270,1780.0,1692.0
2020-10-26,1614.0,1684.0,1614.0,1617.0,5372316739110,246470643,43019,1699.0,1615.0
2020-10-27,1569.0,1636.0,1536.0,1542.0,2845911615950,136913045,23360,1617.0,1540.0
2020-10-28,1483.0,1589.0,1466.0,1527.0,2064206435550,100296057,30277,1542.0,1580.0
2020-10-31,1580.0,1603.0,1532.0,1598.0,1681410500120,78073449,20359,1527.0,1603.0
2020-11-01,1632.0,1632.0,1519.0,1551.0,1700893566630,81345212,21310,1598.0,1520.0
2020-11-02,1485.0,1594.0,1485.0,1548.0,1078508781780,51699600,22337,1551.0,1549.0
2020-11-04,1625.0,1625.0,1596.0,1625.0,1759996883990,80376009,8953,1548.0,1625.0
2020-11-07,1544.0,1544.0,1544.0,1544.0,237235831280,11400088,4425,1625.0,1544.0
2020-11-08,1467.0,1467.0,1467.0,1482.0,86914139280,4396264,1464,1544.0,1467.0
2020-11-09,1409.0,1450.0,1409.0,1414.0,3063052360820,160667514,28337,1482.0,1436.0
2020-11-10,1462.0,1482.0,1409.0,1436.0,1336839732190,69043580,30445,1414.0,1447.0
2020-11-11,1439.0,1508.0,1424.0,1476.0,1318025925250,66266936,26572,1436.0,1508.0
2020-11-14,1549.0,1549.0,1549.0,1549.0,232874222400,11152980,2178,1476.0,1549.0
2020-11-15,1626.0,1626.0,1599.0,1626.0,4030814711120,183961353,31885,1549.0,1626.0
2020-11-16,1646.0,1706.0,1626.0,1695.0,1667171219520,72996482,13618,1626.0,1706.0
2020-11-17,1779.0,1779.0,1779.0,1779.0,940274576340,39210783,5025,1695.0,1779.0
2020-11-18,1867.0,1867.0,1867.0,1867.0,891386312610,35414633,3657,1779.0,1867.0
2020-11-21,1960.0,1960.0,1893.0,1953.0,7192649309930,273211858,48016,1867.0,1929.0
2020-11-22,1933.0,2051.0,1858.0,2004.0,6914093946090,256010512,61821,1953.0,2051.0
2020-11-23,2037.0,2100.0,1951.0,2022.0,5115519510610,187672307,67849,2004.0,1983.0
2020-11-24,1953.0,2022.0,1922.0,1935.0,5903262497750,226369717,57611,2022.0,1922.0
2020-11-25,1888.0,2031.0,1874.0,2009.0,5634619165990,208095361,57161,1935.0,2031.0
2020-11-28,2025.0,2089.0,1988.0,2057.0,6897899648420,248837188,83831,2009.0,2051.0
2020-12-08,2313.0,2427.0,2310.0,2357.0,7064842841160,438942332,105801,2057.0,2371.0
2020-12-09,2415.0,2444.0,2270.0,2351.0,3349310452240,208530538,66659,2357.0,2360.0
2020-12-12,2411.0,2468.0,2368.0,2439.0,4299297371620,258066782,71475,2351.0,2390.0
