date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,86048.0,86048.0,86048.0,82045.0,2404083510,20926,45,81951.0,86048.0
2020-07-05,86147.0,86147.0,86147.0,84348.0,59012462292,513076,54,82045.0,86147.0
2020-07-06,88565.0,88565.0,88565.0,85566.0,31238910060,264188,34,84348.0,88565.0
2020-07-07,89845.0,89845.0,89845.0,89839.0,109491971982,912783,60,85566.0,89845.0
2020-07-08,94331.0,94331.0,94331.0,94331.0,145482700272,1155138,82,89839.0,94331.0
2020-07-11,99047.0,99047.0,99047.0,99047.0,113977195490,861890,69,94331.0,99047.0
2020-07-12,104000.0,104000.0,104000.0,103830.0,106472896959,766803,57,99047.0,104000.0
2020-07-13,109021.0,109021.0,109021.0,109021.0,118049929254,811022,70,103830.0,109021.0
2020-07-14,114471.0,114471.0,114471.0,113195.0,92932853376,608064,37,109021.0,114471.0
2020-07-18,118855.0,118855.0,118855.0,118855.0,288915791736,1820676,105,113195.0,118855.0
2020-07-25,146709.0,154045.0,139374.0,141446.0,1798917547518,9768866,5218,118855.0,140565.0
2020-07-26,141142.0,148518.0,137492.0,145649.0,937233865797,4942727,7473,141446.0,141333.0
2020-07-27,138667.0,144405.0,138367.0,138641.0,264689574316,1466460,2473,145649.0,138367.0
2020-07-28,131711.0,137492.0,131710.0,132108.0,263233258917,1530505,1631,138641.0,131710.0
2020-07-29,125503.0,125503.0,125503.0,125503.0,435775613952,2667056,848,132108.0,125503.0
2020-08-01,125586.0,131778.0,119229.0,122655.0,341024189059,2135621,3971,125503.0,119229.0
2020-08-02,122575.0,125125.0,116523.0,119269.0,288208440812,1856114,3845,122655.0,117291.0
2020-08-03,117291.0,125231.0,116753.0,123045.0,796251083048,4970599,2085,119269.0,125231.0
2020-08-04,129197.0,129197.0,129197.0,129197.0,321136077240,1909240,400,123045.0,129197.0
2020-08-05,135657.0,135657.0,122737.0,133884.0,1152065783727,6609559,5134,129197.0,135657.0
2020-08-09,138260.0,138260.0,127514.0,131177.0,270291727083,1582710,3057,133884.0,129043.0
2020-08-10,129043.0,132668.0,124618.0,125606.0,112438056675,687585,1231,131177.0,124618.0
2020-08-11,119326.0,119326.0,119326.0,123592.0,28590458650,184039,297,125606.0,119326.0
2020-08-12,117412.0,122122.0,117412.0,117513.0,256183363484,1674514,1038,123592.0,117412.0
2020-08-15,111638.0,113681.0,111638.0,111643.0,454594542814,3127660,1464,117513.0,111640.0
2020-08-16,106422.0,111643.0,106061.0,106587.0,145516566321,1048653,1313,111643.0,106061.0
2020-08-17,102297.0,107536.0,101258.0,102365.0,95520890871,716760,1226,106587.0,101998.0
