date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,1984.0,1984.0,1858.0,1873.0,2702299435310,159032081,23277,1955.0,1858.0
2020-07-05,1797.0,1965.0,1797.0,1937.0,1731630520260,98581000,12607,1873.0,1965.0
2020-07-06,2027.0,2033.0,2006.0,2031.0,1145394169250,62155371,7765,1937.0,2033.0
2020-07-07,2109.0,2109.0,2062.0,2098.0,114822203280,6010004,1460,2031.0,2085.0
2020-07-19,2212.0,2256.0,2212.0,2228.0,769028672280,38944460,5277,2098.0,2223.0
2020-07-20,2234.0,2339.0,2144.0,2278.0,3394068206090,168137784,29510,2228.0,2171.0
2020-07-21,2165.0,2234.0,2165.0,2172.0,2072622473570,107677951,16808,2278.0,2165.0
2020-07-22,2064.0,2064.0,2064.0,2113.0,153689187320,8402908,2490,2172.0,2064.0
2020-07-25,2065.0,2189.0,2008.0,2048.0,2836589232490,156296039,26050,2113.0,2011.0
2020-07-26,1986.0,2031.0,1946.0,1954.0,1323966633870,76456311,13398,2048.0,1946.0
2020-07-27,1885.0,1946.0,1857.0,1876.0,1304774182220,78460703,16581,1954.0,1857.0
2020-07-28,1884.0,1970.0,1884.0,1943.0,1112141702710,64569945,13562,1876.0,1906.0
2020-07-29,1915.0,1917.0,1846.0,1861.0,999854991880,60627215,12776,1943.0,1898.0
2020-08-01,1933.0,1953.0,1933.0,1951.0,696486252200,40274558,8705,1861.0,1953.0
2020-08-02,2048.0,2048.0,1970.0,2041.0,2316470017090,128036883,22116,1951.0,2006.0
2020-08-03,2041.0,2041.0,1987.0,2011.0,770918390240,43257774,13020,2041.0,2008.0
2020-08-04,2008.0,2055.0,1941.0,2004.0,1326018252740,74674051,16419,2011.0,1997.0
2020-08-05,2007.0,2103.0,2006.0,2098.0,1046096820120,56268697,5886,2004.0,2103.0
2020-08-09,2201.0,2201.0,2201.0,2201.0,495037102060,25373506,2342,2098.0,2201.0
2020-08-10,2311.0,2311.0,2206.0,2304.0,7694673015260,376735902,37105,2201.0,2311.0
