date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,1482.0,1482.0,1342.0,1381.0,266505689020,1522225,3126,1413.0,1344.0
2020-07-05,1348.0,1426.0,1318.0,1380.0,269377468830,1539258,2873,1381.0,1407.0
2020-07-06,1441.0,1449.0,1419.0,1449.0,557580406500,3035314,2582,1380.0,1449.0
2020-07-07,1493.0,1493.0,1376.0,1415.0,514828803490,2868871,4009,1449.0,1388.0
2020-07-08,1439.0,1439.0,1344.0,1367.0,456692212420,2634937,3135,1415.0,1344.0
2020-07-11,1299.0,1415.0,1298.0,1325.0,369453531050,2198664,3008,1367.0,1372.0
2020-07-12,1325.0,1391.0,1275.0,1375.0,616426259450,3535929,3630,1325.0,1330.0
2020-07-13,1330.0,1375.0,1306.0,1328.0,332336291550,1973102,2844,1375.0,1306.0
2020-07-14,1355.0,1355.0,1262.0,1282.0,374465897400,2304017,3878,1328.0,1285.0
2020-07-15,1322.0,1341.0,1218.0,1270.0,389954386600,2421737,3155,1282.0,1291.0
2020-07-18,1222.0,1308.0,1222.0,1258.0,239115727660,1499154,3159,1270.0,1281.0
2020-07-19,1300.0,1321.0,1294.0,1313.0,201705569220,1211084,1257,1258.0,1321.0
2020-07-22,1313.0,1320.0,1247.0,1293.0,47744150740,313727,669,1313.0,1258.0
2020-07-25,1255.0,1334.0,1255.0,1298.0,464923099600,2996443,3201,1293.0,1299.0
2020-07-26,1321.0,1325.0,1234.0,1265.0,352861119980,2331968,2370,1298.0,1256.0
2020-07-27,1279.0,1279.0,1211.0,1234.0,246768262240,1671693,2213,1265.0,1238.0
2020-07-28,1254.0,1275.0,1213.0,1249.0,212836504690,1424558,2131,1234.0,1224.0
2020-07-29,1238.0,1288.0,1187.0,1219.0,187583397060,1287280,2737,1249.0,1241.0
2020-08-01,1276.0,1279.0,1254.0,1276.0,122318542110,801953,1413,1219.0,1279.0
2020-08-02,1279.0,1339.0,1279.0,1339.0,209584380130,1308944,1755,1276.0,1338.0
2020-08-04,1338.0,1338.0,1272.0,1282.0,389482062100,2541351,2880,1339.0,1272.0
2020-08-05,1231.0,1346.0,1231.0,1312.0,425820456960,2713069,2665,1282.0,1345.0
2020-08-09,1378.0,1378.0,1338.0,1366.0,211806091760,1296739,3328,1312.0,1371.0
2020-08-10,1412.0,1412.0,1298.0,1341.0,317810074030,1982137,2877,1366.0,1316.0
2020-08-11,1280.0,1355.0,1274.0,1285.0,176933963420,1151697,1657,1341.0,1274.0
2020-08-12,1304.0,1349.0,1229.0,1271.0,130815789660,860624,1403,1285.0,1271.0
2020-08-15,1217.0,1251.0,1208.0,1209.0,221711129020,1533988,1246,1271.0,1208.0
2020-08-16,1183.0,1238.0,1148.0,1174.0,236284026570,1683674,1558,1209.0,1164.0
2020-08-17,1171.0,1228.0,1169.0,1207.0,130929897710,906947,1393,1174.0,1228.0
2020-08-22,1204.0,1212.0,1157.0,1200.0,84840216600,592073,372,1207.0,1211.0
2020-08-23,1176.0,1187.0,1140.0,1146.0,215403964890,1571514,1236,1200.0,1140.0
2020-08-24,1091.0,1200.0,1089.0,1097.0,261153420780,1991343,1560,1146.0,1166.0
2020-08-25,1151.0,1151.0,1150.0,1148.0,89624575430,650927,522,1097.0,1151.0
2020-08-26,1205.0,1205.0,1205.0,1205.0,137498630700,953858,854,1148.0,1205.0
2020-08-31,1254.0,1254.0,1145.0,1184.0,85685129450,606904,775,1205.0,1211.0
2020-09-01,1184.0,1184.0,1129.0,1160.0,61798652730,450387,891,1184.0,1136.0
2020-09-02,1107.0,1167.0,1102.0,1106.0,125229840430,946526,947,1160.0,1121.0
2020-09-05,1125.0,1162.0,1117.0,1143.0,139262799190,1018596,1468,1106.0,1162.0
2020-09-06,1196.0,1196.0,1143.0,1159.0,101032595150,728890,998,1143.0,1151.0
2020-09-07,1159.0,1196.0,1119.0,1157.0,385043157440,2783635,1831,1159.0,1171.0
2020-09-08,1112.0,1191.0,1108.0,1141.0,424746202220,3112645,1876,1157.0,1146.0
2020-09-09,1137.0,1198.0,1137.0,1194.0,253481392590,1775108,1296,1141.0,1198.0
2020-09-12,1254.0,1254.0,1229.0,1253.0,281784679200,1880190,1644,1194.0,1254.0
2020-09-13,1291.0,1311.0,1231.0,1264.0,161946362010,1071016,2714,1253.0,1266.0
2020-09-14,1271.0,1328.0,1257.0,1325.0,332102398980,2096671,1776,1264.0,1328.0
2020-09-15,1391.0,1391.0,1347.0,1391.0,612882588240,3685355,2981,1325.0,1391.0
2020-09-16,1460.0,1460.0,1384.0,1435.0,494079374850,2879946,4178,1391.0,1416.0
2020-09-19,1363.0,1505.0,1363.0,1440.0,318759004710,1850912,2500,1435.0,1441.0
2020-09-20,1471.0,1471.0,1368.0,1375.0,250576655640,1524232,2228,1440.0,1368.0
2020-09-21,1307.0,1422.0,1306.0,1314.0,399776173950,2543584,2268,1375.0,1337.0
2020-09-22,1380.0,1380.0,1289.0,1366.0,221945224420,1358700,1692,1314.0,1380.0
2020-09-23,1400.0,1432.0,1388.0,1415.0,219066415250,1294435,1419,1366.0,1431.0
2020-09-26,1432.0,1460.0,1401.0,1436.0,141755283930,825729,1394,1415.0,1455.0
2020-09-27,1422.0,1430.0,1364.0,1384.0,72725307940,444709,683,1436.0,1364.0
2020-09-28,1315.0,1409.0,1315.0,1352.0,158449641920,980317,1110,1384.0,1409.0
2020-09-29,1289.0,1419.0,1289.0,1406.0,272611158670,1621240,1715,1352.0,1419.0
2020-09-30,1454.0,1454.0,1380.0,1438.0,127328401210,740247,1323,1406.0,1452.0
2020-10-03,1393.0,1476.0,1393.0,1449.0,142251192680,820749,1686,1438.0,1417.0
2020-10-04,1438.0,1447.0,1377.0,1389.0,153762678300,925896,1512,1449.0,1377.0
2020-10-05,1321.0,1405.0,1319.0,1326.0,165964724030,1046691,1177,1389.0,1322.0
