date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,2029.0,2029.0,1837.0,1909.0,1931699949830,87867198,21156,1933.0,1867.0
2020-07-05,1823.0,2003.0,1823.0,1975.0,1859470388380,81740172,11555,1909.0,2003.0
2020-07-06,2074.0,2074.0,2074.0,2074.0,572072909760,23956152,4038,1975.0,2074.0
2020-07-08,2177.0,2177.0,1998.0,2158.0,2520421438340,101423690,12915,2074.0,2015.0
2020-07-11,2050.0,2223.0,2050.0,2100.0,1319483750950,54543273,10667,2158.0,2196.0
2020-07-12,2205.0,2205.0,2149.0,2200.0,1583035132540,62460270,9661,2100.0,2162.0
2020-07-13,2153.0,2188.0,2091.0,2104.0,758058762980,31287845,10524,2200.0,2091.0
2020-07-14,2091.0,2160.0,1999.0,2025.0,903310500090,38733036,8301,2104.0,1999.0
2020-07-15,1924.0,1975.0,1924.0,1926.0,1238321634100,55839775,9266,2025.0,1924.0
2020-07-18,1830.0,1889.0,1830.0,1844.0,682551554810,32128794,11762,1926.0,1832.0
2020-07-19,1872.0,1936.0,1872.0,1933.0,347472931590,15610845,2934,1844.0,1936.0
2020-07-20,2029.0,2029.0,1980.0,2026.0,1489821809530,63868594,10020,1933.0,1996.0
2020-07-21,1997.0,1997.0,1925.0,1941.0,542219070510,24255655,7505,2026.0,1925.0
2020-07-22,1848.0,1912.0,1844.0,1853.0,322136142790,15092170,3683,1941.0,1844.0
2020-07-25,1853.0,1944.0,1784.0,1869.0,562728390840,26133342,9060,1853.0,1799.0
2020-07-26,1810.0,1865.0,1777.0,1793.0,299205540540,14487344,5658,1869.0,1777.0
2020-07-27,1712.0,1771.0,1704.0,1711.0,573464163260,29101986,8340,1793.0,1704.0
2020-07-28,1704.0,1797.0,1703.0,1744.0,797785205160,39703317,9022,1711.0,1745.0
2020-07-29,1797.0,1797.0,1658.0,1667.0,763420890510,39769596,8072,1744.0,1706.0
